p_val_adj,cluster,gene,
6.61E-31,39,erbb3a,
7.81E-31,39,naalad2,
9.03E-31,39,foxq1a,
1.40E-30,39,elovl7b,
1.46E-30,39,agr1,
1.55E-30,39,styk1b,
1.71E-30,39,cdh1,
1.72E-30,39,si:dkey-19b23.12,
1.75E-30,39,scel,
2.85E-30,39,tgm1l4,
4.04E-30,39,ildr1a,
5.24E-30,39,si:dkey-221j11.3,
5.93E-30,39,cldn23a,
6.31E-30,39,pycard,
6.92E-30,39,si:cabz01007794.1,
7.32E-30,39,si:ch211-217k17.9,
7.98E-30,39,hrc,
8.20E-30,39,tmsb1,
1.00E-29,39,ikzf2,
1.03E-29,39,tcima,
1.66E-29,39,cast,
2.26E-29,39,capn2l,
3.48E-29,39,krt5,
3.91E-29,39,prr13,
4.16E-29,39,s100v2,
4.47E-29,39,si:ch211-98n17.5,
4.68E-29,39,ftr83,
5.56E-29,39,pkp3a,
6.51E-29,39,fuca1.1,
7.13E-29,39,cyt1,
8.52E-29,39,cldnf,
9.53E-29,39,XLOC-027129,
1.08E-28,39,pof1b,
1.13E-28,39,wu:fb18f06,
1.16E-28,39,oclna,
1.39E-28,39,gcnt4a,
1.42E-28,39,si:ch73-204p21.2,
1.52E-28,39,DSG2,
1.77E-28,39,si:ch211-157c3.4,
1.83E-28,39,gmds,
2.06E-28,39,si:ch1073-190k2.1,
2.96E-28,39,cldnb,
3.04E-28,39,gsnb,
3.32E-28,39,anxa3a,
3.52E-28,39,alox12,
3.97E-28,39,cav2,
4.28E-28,39,si:ch211-105c13.3,
4.78E-28,39,zgc:110333,
5.72E-28,39,hopx,
5.91E-28,39,phlda2,
6.92E-28,39,capns1a,
7.12E-28,39,jac10,
7.45E-28,39,homer2,
1.14E-27,39,si:ch73-52f15.5,
1.37E-27,39,eps8l1b,
1.54E-27,39,serpinb14,
1.60E-27,39,nfkbiaa,
1.99E-27,39,si:ch73-347e22.8,
2.79E-27,39,mboat1,
3.62E-27,39,chmp4c,
3.72E-27,39,oclnb,
4.09E-27,39,mid1ip1a,
4.56E-27,39,zgc:194839,
4.60E-27,39,cfl1l,
5.47E-27,39,cyp17a1,
6.38E-27,39,nqo1,
7.63E-27,39,anxa2a,
7.68E-27,39,degs2,
1.07E-26,39,si:dkey-204f11.64,
1.18E-26,39,hbegfa,
1.19E-26,39,si:ch211-232i5.1,
1.50E-26,39,ponzr5,
1.59E-26,39,zgc:175088,
1.72E-26,39,abca12,
1.92E-26,39,XLOC-041945,
2.01E-26,39,elf3,
2.11E-26,39,gdpd3a,
2.24E-26,39,b3gnt3.3,
2.38E-26,39,anxa1b,
2.43E-26,39,abcb5,
2.54E-26,39,arhgdig,
3.03E-26,39,si:dkey-193p11.2,
3.31E-26,39,rnf183,
3.93E-26,39,anxa1a,
4.37E-26,39,eps8l1a,
5.73E-26,39,f11r.1,
8.73E-26,39,s100u,
1.13E-25,39,mir203a,
1.21E-25,39,FP236513.1,
1.34E-25,39,sh3gl1a,
1.61E-25,39,ap1s3b,
1.83E-25,39,palm3,
1.92E-25,39,si:ch1073-340i21.3,
2.00E-25,39,cd99,
2.00E-25,39,si:dkey-222n6.2,
2.17E-25,39,svopl,
2.65E-25,39,tuba8l2,
2.82E-25,39,icn,
3.33E-25,39,capn2b,
3.33E-25,39,vamp8,
3.47E-25,39,RAMP1,
4.18E-25,39,BX901957.1,
4.96E-25,39,aep1,
5.09E-25,39,cst14b.1,
5.54E-25,39,zgc:112964,
6.30E-25,39,tnks1bp1,
6.38E-25,39,lmo7a,
7.61E-25,39,nansb,
8.08E-25,39,ftr86,
8.32E-25,39,rab11al,
9.34E-25,39,noxo1a,
1.13E-24,39,mgst2,
1.45E-24,39,cavin2a,
1.56E-24,39,camk2d1,
1.67E-24,39,mvp,
1.93E-24,39,uraha,
2.47E-24,39,ywhaz,
2.53E-24,39,si:dkey-74k8.3,
3.37E-24,39,pleca,
3.88E-24,39,si:ch211-166a6.5,
1.09E-23,39,gsta.1,
3.10E-23,39,cx30.3,
3.49E-23,39,si:ch211-79k12.1,
3.54E-23,39,ahnak,
3.96E-23,39,plekhf1,
4.97E-23,39,nos1,
6.34E-23,39,XLOC-026578,
9.27E-23,39,si:ch211-202h22.8,
1.20E-22,39,ngfrb,
1.29E-22,39,dlx5a,
1.86E-22,39,zgc:136892,
2.57E-22,39,cavin2b,
4.59E-22,39,arl11,
5.14E-22,39,apodb,
9.20E-22,39,s100a10b,
1.23E-21,39,sult6b1,
2.06E-21,39,selenow2b,
3.19E-21,39,tm9sf5,
4.13E-21,39,rbm47,
4.30E-21,39,BX927258.1,
4.39E-21,39,mgll,
6.32E-21,39,zgc:63831,
6.33E-21,39,bhlhe40,
1.44E-20,39,capgb,
1.86E-20,39,zgc:162730,
1.99E-20,39,rab6bb,
2.48E-20,39,ppdpfa,
2.84E-20,39,sult1st1,
6.20E-20,39,papss2b,
7.94E-20,39,arhgef5,
8.64E-20,39,cebpd,
1.40E-19,39,XLOC-000666,
2.13E-19,39,si:dkey-184p18.2,
2.71E-19,39,mapk12a,
3.81E-19,39,spint1a,
7.94E-19,39,krt91,
1.06E-18,39,pkp1b,
1.28E-18,39,LOC101884747,
1.34E-18,39,b3gnt3.1,
1.64E-18,39,cyp2y3,
1.88E-18,39,epas1a,
2.11E-18,39,zgc:111983,
2.17E-18,39,zgc:174935,
3.50E-18,39,XLOC-001603,
4.05E-18,39,scamp2l,
4.25E-18,39,sult2st1,
6.13E-18,39,myh9a,
1.32E-17,39,cmah,
3.35E-17,39,prdx5,
3.70E-17,39,atp11a,
5.43E-17,39,s100w,
7.44E-17,39,sh3d21,
1.60E-16,39,he1.3,
1.65E-16,39,zmp:0000001114,
3.09E-16,39,arfgap3,
4.79E-16,39,gstp1,
4.90E-16,39,tspo,
5.40E-16,39,cox17,
6.32E-16,39,cxcl14,
6.69E-16,39,osgn1,
1.82E-15,39,grhl1,
4.91E-15,39,cst14a.2,
1.18E-14,39,atp1b1b,
1.21E-14,39,caspb,
1.26E-14,39,si:ch211-264f5.6,
1.50E-14,39,selenow1,
2.11E-14,39,plecb,
5.73E-14,39,tcnbb,
6.22E-14,39,dnase1l4.1,
9.65E-14,39,krtt1c19e,
1.31E-13,39,XLOC-032526,
3.10E-13,39,ch25hl1.1,
5.93E-13,39,ahcyl1,
1.41E-12,39,acy3.2,
2.61E-12,39,cebpb,
3.34E-12,39,si:ch211-226m16.2,
4.02E-12,39,barx2,
1.08E-11,39,zgc:158343,
1.52E-11,39,atp5if1b,
5.70E-11,39,xbp1,
7.85E-11,39,wu:fj16a03,
1.41E-10,39,si:ch211-264e16.1,
1.95E-10,39,si:ch211-153b23.5,
1.96E-10,39,ptgs2a,
4.19E-10,39,srpx2,
4.83E-10,39,LOC101882251,
5.00E-10,39,gsto2,
1.44E-09,39,serpinb1,
1.50E-09,39,fxyd1,
2.28E-09,39,ttc39a,
3.34E-08,39,atf3,
3.43E-08,39,drd5a,
4.99E-08,39,s100a11,
6.07E-08,39,si:dkey-16p21.8,
7.33E-08,39,ubxn8,
1.13E-07,39,gata3,
5.16E-07,39,im:7150988,
5.69E-07,39,si:dkeyp-100a1.6,
6.84E-07,39,XLOC-039121,
1.87E-06,39,rps27l,
6.72E-06,39,b3gnt7,
2.35E-05,39,fosb,
0.000114307084651012,39,krt97,
0.000523504276984337,39,myo18aa,
0.00159952839244472,39,sgk2a,
0.00171750412795496,39,si:dkey-125i10.3,
0.00333771763551254,39,si:dkey-56i24.1,
0.00406341306336487,39,LOC108180265,
0.0154496021270649,39,sp8a,
0.0450278550982203,39,krt15,
0.0639625636472864,39,tfap2c,
0.250581106946378,39,krt96,
0.834644899140078,39,sp9,
1,39,si:dkeyp-86h10.3,
5.63E-72,40,si:ch211-256e16.6,
4.48E-46,40,si:dkey-65b12.6,
1.93E-36,40,vsig8a,
6.91E-36,40,degs2,
5.99E-34,40,itpr3,
2.16E-33,40,LOC799574,
2.44E-33,40,cldnh,
1.14E-32,40,elf3,
1.15E-32,40,bik,
1.62E-32,40,zgc:123295,
3.94E-32,40,icn,
9.00E-32,40,spint2,
2.01E-31,40,cldnb,
2.53E-31,40,pou2f3,
2.58E-31,40,hpcal1,
3.37E-31,40,scg2a,
3.90E-31,40,dbnla,
5.19E-31,40,epcam,
5.84E-31,40,zgc:154054,
7.10E-31,40,anxa5b,
9.85E-31,40,s100u,
1.29E-30,40,tcima,
1.35E-30,40,foxa3,
2.12E-30,40,f11r.1,
4.61E-30,40,ap1s3b,
9.68E-30,40,zgc:101744,
3.20E-29,40,tfap2c,
8.04E-29,40,zgc:92380,
1.23E-28,40,cldn8,
2.47E-28,40,si:ch1073-190k2.1,
3.21E-28,40,s100v2,
4.29E-28,40,grp,
1.53E-27,40,muc5.1,
7.49E-27,40,sox4b,
7.85E-27,40,fxyd1,
1.09E-26,40,cdh1,
4.04E-26,40,si:ch211-195b11.3,
4.13E-26,40,atp1a3b,
8.45E-26,40,hopx,
8.99E-26,40,cldn7b,
1.14E-25,40,prr13,
1.15E-25,40,arfgap3,
2.88E-25,40,tph1b,
3.70E-25,40,gbgt1l4,
9.07E-25,40,foxa1,
1.29E-24,40,foxa,
2.18E-24,40,gpa33a,
2.45E-24,40,tmem45b,
4.24E-24,40,gfral,
7.41E-24,40,ecrg4a,
7.88E-24,40,si:ch211-202f5.3,
1.50E-23,40,wu:fb18f06,
4.38E-23,40,pof1b,
5.49E-23,40,b3gnt7l,
5.94E-23,40,gng8,
6.14E-23,40,calm1b,
6.46E-23,40,si:dkey-87o1.2,
9.58E-23,40,tmem176l.4,
4.96E-22,40,gcnt4a,
5.03E-22,40,rnf183,
9.52E-22,40,capn2l,
2.16E-21,40,ucp2,
5.16E-21,40,dnase1l4.1,
6.52E-21,40,prr15la,
6.57E-21,40,krt97,
6.62E-21,40,fuca1.1,
2.28E-20,40,styk1b,
2.59E-20,40,scg3,
5.39E-20,40,cd9b,
5.46E-20,40,si:dkey-251i10.1,
6.74E-20,40,vamp2,
9.35E-20,40,ugt8,
1.19E-19,40,gmds,
1.24E-19,40,pvalb8,
1.98E-19,40,rnf41l,
2.20E-19,40,atp6v1aa,
4.27E-19,40,nqo1,
5.84E-19,40,sh3gl1a,
1.64E-18,40,chmp4c,
3.38E-18,40,syt1a,
3.86E-18,40,foxq1a,
6.35E-18,40,fthl31,
8.26E-18,40,lmx1ba,
1.05E-17,40,lzts1,
1.48E-17,40,malb,
2.61E-17,40,XLOC-016099,
2.88E-17,40,CT573383.1,
4.20E-17,40,gng13b,
4.78E-17,40,oclna,
5.43E-17,40,ddit3,
6.15E-17,40,b3gnt7,
8.52E-17,40,cldnf,
1.30E-16,40,ywhaz,
1.35E-16,40,pkma,
1.66E-16,40,si:ch211-264f5.6,
2.32E-16,40,stard15,
6.16E-16,40,nansb,
6.22E-16,40,ppp1r14c,
6.52E-16,40,selenow1,
7.02E-16,40,six1b,
8.25E-16,40,myb,
8.69E-16,40,spint1a,
1.07E-15,40,txn,
1.33E-15,40,atp5if1b,
1.42E-15,40,ftr83,
1.80E-15,40,stard10,
1.90E-15,40,zgc:153665,
2.56E-15,40,serpinb14,
3.02E-15,40,ppl,
3.33E-15,40,chga,
3.59E-15,40,BX000438.2,
6.77E-15,40,bmp5,
6.94E-15,40,ret,
1.23E-14,40,cldn23a,
1.97E-14,40,zgc:194839,
2.12E-14,40,cldne,
2.20E-14,40,sgk2a,
2.59E-14,40,b3gnt5b,
3.26E-14,40,pkp3a,
3.26E-14,40,agr2,
4.65E-14,40,tram1,
5.40E-14,40,zgc:174935,
6.81E-14,40,SPDEF,
7.27E-14,40,krt8,
7.37E-14,40,zgc:158343,
7.48E-14,40,calr3b,
8.29E-14,40,dnase1l1,
8.52E-14,40,jam2a,
1.14E-13,40,ckap4,
1.37E-13,40,atp2a3,
1.51E-13,40,si:dkeyp-100a1.6,
1.71E-13,40,dmrta2,
2.75E-13,40,myo18aa,
3.14E-13,40,cavin2a,
5.63E-13,40,si:ch73-347e22.8,
5.78E-13,40,rap1gap2a,
6.22E-13,40,ponzr5,
6.54E-13,40,si:ch1073-340i21.3,
7.54E-13,40,dhrs13a.2,
7.55E-13,40,si:ch211-236g6.1,
8.22E-13,40,tmem30b,
1.02E-12,40,id4,
1.17E-12,40,mid1ip1a,
1.26E-12,40,alcama,
1.30E-12,40,rnaseka,
1.33E-12,40,si:ch73-335l21.4,
1.63E-12,40,kita,
1.93E-12,40,znf385a,
2.05E-12,40,s100v1,
2.19E-12,40,tnks1bp1,
2.20E-12,40,ednrab,
2.39E-12,40,btr12,
2.64E-12,40,thrap3a,
3.66E-12,40,acy3.2,
4.88E-12,40,gata3,
8.07E-12,40,papss2b,
8.62E-12,40,tuba8l2,
1.16E-11,40,mvp,
1.35E-11,40,atp6ap1b,
1.43E-11,40,nupr1b,
1.53E-11,40,pbxip1b,
1.65E-11,40,sytl2b,
1.93E-11,40,si:dkey-193p11.2,
2.94E-11,40,palm3,
3.32E-11,40,ildr1a,
3.90E-11,40,hrc,
4.10E-11,40,zmp:0000001114,
6.42E-11,40,fgf13a,
9.53E-11,40,oclnb,
9.90E-11,40,capn9,
1.00E-10,40,zgc:110333,
1.21E-10,40,id2b,
1.22E-10,40,gsnb,
1.39E-10,40,gdpd4a,
1.67E-10,40,myt1b,
4.23E-10,40,XLOC-020187,
4.58E-10,40,dll4,
5.64E-10,40,si:ch211-166a6.5,
6.04E-10,40,ahnak,
6.81E-10,40,p2rx1,
7.53E-10,40,socs3a,
8.13E-10,40,capns1a,
1.10E-09,40,eya1,
1.64E-09,40,svopl,
2.43E-09,40,rpz5,
2.77E-09,40,atp6v0a1a,
2.91E-09,40,shisa2b,
3.78E-09,40,mgst2,
4.18E-09,40,fosb,
5.09E-09,40,pleca,
9.15E-09,40,tmem88b,
1.00E-08,40,si:dkey-19b23.12,
1.69E-08,40,spaca4l,
2.01E-08,40,LOC101884747,
2.08E-08,40,si:ch211-139a5.9,
2.15E-08,40,fkbp11,
2.25E-08,40,padi2,
2.43E-08,40,SLC35D3,
4.00E-08,40,cd99,
4.60E-08,40,plk2b,
8.81E-08,40,grhl1,
1.04E-07,40,capn2b,
2.40E-07,40,rab11al,
2.73E-07,40,hsd17b12a,
3.33E-07,40,acbd7,
3.46E-07,40,tm9sf5,
4.23E-07,40,capn8,
7.21E-07,40,xbp1,
1.03E-06,40,scinlb,
1.63E-06,40,rap1gap,
1.63E-06,40,cebpb,
1.84E-06,40,sox1b,
2.50E-06,40,sult2st1,
3.40E-05,40,si:ch211-79k12.1,
5.30E-05,40,cd63,
7.00E-05,40,ascl1a,
0.000101770350051096,40,cebpd,
0.000148891440328532,40,dusp5,
0.000215292663792751,40,egr4,
0.000270366009503047,40,phlda2,
0.000560387619903943,40,sult1st1,
0.00061921662023196,40,arhgef5,
0.000728540123773534,40,cox6b1,
0.000923857909480326,40,si:ch211-163l21.8,
0.000985528767032678,40,zgc:136892,
0.000997433455050214,40,bambia,
0.00158069728320236,40,rbm47,
0.00307719142361243,40,krt18a.1,
0.00327906272182513,40,alox5a,
0.00444206894941287,40,zgc:174938,
0.0124795089300179,40,zgc:194679,
0.0278346652046969,40,XLOC-032526,
0.0319637494993314,40,CR855311.1,
0.045108603490168,40,glipr1b,
0.0586315017000333,40,krt91,
0.154554752535065,40,atp2b1b,
0.222258155815798,40,smkr1,
0.233581523792654,40,st14a,
0.453039889587912,40,ndrg3a,
0.545340619850669,40,optc,
1,40,si:ch211-56a11.2,
1,40,BX927258.1,
1,40,tfap2a,
1,40,h1fx,
1,40,si:ch211-243g18.2,
9.55E-33,41,hoxb13a,
1.70E-28,41,clu,
5.16E-28,41,npr3,
7.59E-28,41,myl9a,
2.00E-27,41,smkr1,
2.24E-25,41,optc,
2.26E-25,41,tkta,
6.22E-25,41,col9a3,
1.33E-24,41,cd59,
1.99E-24,41,cd81b,
6.38E-24,41,corin,
6.55E-24,41,cavin1b,
6.72E-24,41,shha,
1.74E-23,41,foxj1a,
2.06E-23,41,kera,
3.36E-23,41,krt15,
4.01E-23,41,ctgfa,
6.52E-23,41,col2a1a,
8.82E-23,41,CU681836.1,
2.23E-22,41,si:ch73-265d7.2,
4.55E-22,41,foxa1,
6.25E-22,41,duox,
1.72E-21,41,lrrc39,
2.32E-21,41,ptn,
2.36E-21,41,hapln1a,
3.41E-21,41,foxa2,
4.53E-21,41,col9a2,
7.36E-21,41,myog,
7.54E-21,41,and1,
8.68E-21,41,frem3,
1.33E-20,41,fn1b,
1.86E-20,41,col9a1b,
4.89E-20,41,spon1b,
6.06E-20,41,col8a1a,
1.30E-19,41,hoxc13a,
1.66E-19,41,fxyd1,
2.99E-19,41,ttc39a,
3.31E-19,41,igfbp7,
4.21E-19,41,emp2,
5.08E-19,41,rpz5,
9.48E-19,41,shhb,
1.31E-18,41,rtn2a,
1.32E-18,41,ntn1b,
2.50E-18,41,col11a1a,
4.96E-18,41,slit2,
1.95E-17,41,foxa,
1.96E-17,41,cyr61l2,
4.65E-17,41,socs3a,
1.11E-16,41,col2a1b,
1.15E-16,41,flncb,
2.57E-16,41,ccdc173,
2.90E-16,41,wnt4b,
7.02E-16,41,elovl1b,
8.45E-16,41,alpi.1,
1.02E-15,41,col4a4,
1.34E-15,41,ndnf,
1.57E-15,41,spon1a,
2.17E-15,41,bicc2,
3.74E-15,41,crip2,
4.12E-15,41,thbs1b,
4.61E-15,41,col5a3a,
1.07E-14,41,ppp1r14c,
1.29E-14,41,si:ch211-157b11.8,
1.40E-14,41,chl1a,
3.82E-14,41,fabp7b,
4.04E-14,41,sulf1,
5.30E-14,41,col5a1,
6.30E-14,41,sncga,
7.33E-14,41,cfap45,
8.96E-14,41,olig4,
1.28E-13,41,msgn1,
1.62E-13,41,ywhag2,
1.78E-13,41,lgals2a,
3.49E-13,41,aplnr2,
3.77E-13,41,calm1b,
6.93E-13,41,krt18a.1,
9.43E-13,41,oc90,
1.32E-12,41,selenow1,
1.59E-12,41,casz1,
2.59E-12,41,arxa,
3.13E-12,41,si:ch211-212k18.7,
4.28E-12,41,slit1b,
7.72E-12,41,ckap4,
9.17E-12,41,alcama,
2.39E-11,41,id4,
3.28E-11,41,camk2n1a,
3.36E-11,41,podxl,
4.19E-11,41,fosb,
4.55E-11,41,arl4ca,
5.03E-11,41,krt8,
5.11E-11,41,si:ch73-335l21.4,
1.03E-10,41,syt1a,
1.09E-10,41,nkx2.2a,
1.12E-10,41,tbata,
1.22E-10,41,col16a1,
1.48E-10,41,vim,
1.57E-10,41,pmp22a,
2.88E-10,41,dcn,
2.98E-10,41,lsp1,
3.27E-10,41,ppdpfa,
3.29E-10,41,calr3b,
3.54E-10,41,enkur,
5.05E-10,41,col15a1a,
6.17E-10,41,mnx1,
8.07E-10,41,cebpd,
1.43E-09,41,si:ch211-153f2.7,
1.92E-09,41,tgfb3,
2.56E-09,41,sulf2b,
2.94E-09,41,loxl5b,
3.25E-09,41,kif21a,
4.90E-09,41,vasna,
5.32E-09,41,cavin2b,
8.80E-09,41,dhrs11a,
1.34E-08,41,zgc:162730,
1.59E-08,41,ntd5,
1.63E-08,41,prdx5,
1.89E-08,41,atf3,
2.69E-08,41,zgc:101100,
3.14E-08,41,cdo1,
4.45E-08,41,slc6a1b,
5.45E-08,41,col11a2,
6.44E-08,41,spon2a,
8.56E-08,41,sema3b,
9.35E-08,41,CR381618.1,
1.19E-07,41,pcdh11,
1.27E-07,41,atp1b1a,
1.79E-07,41,anxa4,
1.85E-07,41,wnt4a,
2.45E-07,41,pmp22b,
4.16E-07,41,itpr3,
7.49E-07,41,limch1a,
1.95E-06,41,xbp1,
2.86E-06,41,rcn3,
3.58E-06,41,fkbp9,
3.58E-06,41,ahnak,
4.13E-06,41,cygb1,
4.19E-06,41,b3gnt7l,
7.36E-06,41,lmx1ba,
9.79E-06,41,cxcl12b,
1.33E-05,41,fras1,
1.38E-05,41,ldlrad2,
1.44E-05,41,tnc,
2.67E-05,41,fstl1a,
2.75E-05,41,lmx1bb,
5.04E-05,41,zgc:193726,
5.11E-05,41,nog2,
5.30E-05,41,pleca,
6.73E-05,41,nfasca,
7.38E-05,41,gadd45bb,
0.000163918993638819,41,CABZ01072309.2,
0.000968375411272454,41,col28a2a,
0.00238178715477739,41,si:ch211-163l21.7,
0.0035022031579482,41,zgc:113531,
0.0122973655048535,41,palm3,
0.024926267448271,41,cd63,
0.0444809753940742,41,rbp7b,
0.0446927264705522,41,tagln2,
0.0513912583688715,41,krt94,
0.0515964363551978,41,tmem88b,
0.0579993681354424,41,cyr61,
0.100178579860596,41,slc32a1,
0.199697773739778,41,scinlb,
0.311302147304294,41,apln,
0.457288864709669,41,kctd12.2,
0.486629245764843,41,ptx3a,
0.533908343107221,41,angpt1,
0.553594477306084,41,matn4,
0.580561464185588,41,vamp8,
0.718577678144386,41,lama5,
0.744779218438515,41,arxb,
0.764594926204765,41,hoxb9a,
0.768226665443719,41,serpinh1b,
0.820011624817225,41,scg2a,
1,41,emid1,
1,41,twist2,
1,41,foxp2,
2.40E-47,42,vsig8a,
5.06E-41,42,bik,
9.54E-32,42,fstl5,
6.04E-30,42,capsla,
1.63E-29,42,lhx2a,
1.12E-28,42,drd4-rs,
3.97E-28,42,abhd2b,
3.95E-27,42,sprn2,
8.71E-27,42,atp2b1b,
3.18E-26,42,scg2a,
6.18E-26,42,atp2b3a,
5.54E-24,42,cfap45,
8.45E-24,42,slc17a6b,
1.63E-23,42,rab6ba,
2.53E-23,42,cdk5r1b,
2.48E-22,42,cldnh,
2.77E-22,42,si:dkey-251i10.1,
4.70E-22,42,slc6a6a,
8.37E-22,42,scg2b,
1.36E-21,42,map1aa,
1.36E-21,42,sypb,
3.57E-21,42,camk2n1a,
4.96E-21,42,f11r.1,
6.55E-21,42,tmem45b,
7.44E-21,42,uchl1,
8.78E-21,42,rab6bb,
8.98E-21,42,vamp2,
1.30E-20,42,tuba2,
1.40E-20,42,atf5a,
3.39E-20,42,anxa5b,
3.74E-20,42,gng13b,
6.66E-20,42,olfm1b,
7.26E-20,42,stx1b,
7.40E-20,42,sncb,
8.41E-20,42,dlg2,
8.42E-20,42,spock1,
1.16E-19,42,aplp1,
1.39E-19,42,epcam,
1.46E-19,42,id2b,
1.47E-19,42,kif1aa,
2.18E-19,42,islr2,
2.50E-19,42,stmn2a,
4.54E-19,42,snap25a,
4.74E-19,42,nfasca,
4.83E-19,42,fthl28,
5.74E-19,42,st8sia5,
7.73E-19,42,si:ch211-242b18.1,
1.15E-18,42,fxyd1,
1.41E-18,42,sypa,
2.40E-18,42,ndrg3a,
2.59E-18,42,ptprsb,
2.71E-18,42,soul2,
3.15E-18,42,syt1a,
3.23E-18,42,si:dkey-280e21.3,
4.70E-18,42,txn,
4.77E-18,42,calm1b,
5.23E-18,42,insm1a,
6.49E-18,42,sv2a,
1.11E-17,42,atp6v0cb,
1.68E-17,42,ccdc173,
1.70E-17,42,sv2bb,
2.07E-17,42,chga,
2.13E-17,42,spock3,
2.21E-17,42,flrt1b,
2.52E-17,42,nrxn1a,
3.27E-17,42,ARHGAP22 (1 of many),
3.69E-17,42,zgc:65894,
4.62E-17,42,ugt8,
4.68E-17,42,LOC100537342,
4.69E-17,42,syt11a,
4.91E-17,42,ap1s3b,
8.29E-17,42,gbgt1l4,
9.96E-17,42,insm1b,
1.30E-16,42,elavl4,
1.33E-16,42,si:ch211-153b23.5,
1.75E-16,42,pvalb5,
2.58E-16,42,prr13,
2.91E-16,42,tnks1bp1,
3.15E-16,42,maptb,
4.18E-16,42,etv1,
4.35E-16,42,atp11a,
7.81E-16,42,acbd7,
9.70E-16,42,arfgap3,
9.77E-16,42,gng3,
1.09E-15,42,eno2,
1.40E-15,42,cd9b,
1.51E-15,42,casz1,
1.56E-15,42,gsto2,
1.67E-15,42,aldocb,
1.97E-15,42,stmn1b,
2.24E-15,42,stxbp1a,
5.75E-15,42,map1b,
5.98E-15,42,atp1a3a,
6.07E-15,42,l1cama,
6.56E-15,42,oclna,
7.15E-15,42,elavl3,
7.26E-15,42,atp6v1e1b,
9.34E-15,42,cdh1,
9.89E-15,42,dmrta2,
1.06E-14,42,mllt11,
1.15E-14,42,atp6v1aa,
1.33E-14,42,hsp90aa1.2,
1.37E-14,42,tspan35,
1.94E-14,42,fuca1.1,
3.42E-14,42,fthl31,
4.67E-14,42,emx1,
6.07E-14,42,gpc1a,
1.11E-13,42,tmsb,
1.76E-13,42,add2,
2.04E-13,42,degs2,
2.21E-13,42,l1camb,
2.97E-13,42,cldn7b,
3.31E-13,42,kcnc3a,
4.31E-13,42,cldn8,
6.09E-13,42,st14a,
1.19E-12,42,XLOC-019062,
1.30E-12,42,gng8,
2.02E-12,42,atp1b1a,
2.45E-12,42,smkr1,
2.51E-12,42,si:dkey-178k16.1,
3.04E-12,42,cldnb,
3.45E-12,42,atp6v1g1,
3.83E-12,42,pcsk1nl,
4.55E-12,42,sgk2a,
4.66E-12,42,sema3bl,
4.66E-12,42,gjd2b,
5.46E-12,42,pcdh11,
5.47E-12,42,ywhag2,
5.58E-12,42,celf4,
6.46E-12,42,bmper,
6.71E-12,42,myt1la,
7.37E-12,42,gsnb,
9.20E-12,42,gria1a,
9.23E-12,42,s100z,
9.77E-12,42,kcnma1a,
9.97E-12,42,anxa1a,
1.04E-11,42,nsg2,
1.34E-11,42,ddit3,
1.74E-11,42,CR786562.1,
1.80E-11,42,pvalb8,
1.91E-11,42,tpi1b,
2.23E-11,42,ebf3a,
2.33E-11,42,cplx2,
2.70E-11,42,ndrg4,
3.74E-11,42,myo5aa,
4.49E-11,42,lhx2b,
5.62E-11,42,foxj1a,
1.04E-10,42,vgf,
1.08E-10,42,ribc1,
1.55E-10,42,ywhaz,
1.56E-10,42,inab,
1.61E-10,42,myt1b,
2.40E-10,42,rnf41l,
2.47E-10,42,sulf2b,
2.85E-10,42,adcyap1b,
4.57E-10,42,lgmn,
5.21E-10,42,bcl11ba,
5.40E-10,42,id4,
7.69E-10,42,stard10,
7.81E-10,42,stmn2b,
9.02E-10,42,glula,
1.03E-09,42,atp5if1b,
1.18E-09,42,gstp1,
1.75E-09,42,mef2d,
2.97E-09,42,tbr1b,
3.06E-09,42,spint1a,
3.61E-09,42,neurod1,
3.91E-09,42,cxcr4b,
4.56E-09,42,s100t,
4.79E-09,42,selenow1,
5.16E-09,42,pou2f2a,
6.25E-09,42,ca16b,
7.56E-09,42,sp8a,
1.07E-08,42,abca12,
1.44E-08,42,eno1a,
2.23E-08,42,atp6v0ca,
3.26E-08,42,myt1a,
5.57E-08,42,rap1gap2a,
6.65E-08,42,gap43,
7.29E-08,42,zgc:92380,
7.77E-08,42,si:rp71-17i16.6,
8.23E-08,42,calr3b,
1.01E-07,42,slc35g2b,
1.05E-07,42,cplx2l,
1.18E-07,42,fgf13a,
1.26E-07,42,tuba8l3,
1.37E-07,42,ckbb,
1.60E-07,42,pkma,
1.78E-07,42,pcdh9,
1.99E-07,42,calm3a,
2.65E-07,42,dlx4b,
3.93E-07,42,nhlh2,
4.80E-07,42,cotl1,
5.90E-07,42,tmx2b,
9.68E-07,42,bhlhe22,
1.08E-06,42,gadd45bb,
1.66E-06,42,dbx1b,
1.68E-06,42,h1fx,
2.28E-06,42,elovl1b,
2.52E-06,42,prdx5,
3.14E-06,42,mafaa,
1.03E-05,42,atp6v1c1b,
1.09E-05,42,phactr3b,
1.25E-05,42,spint2,
1.38E-05,42,uncx,
1.58E-05,42,scg3,
1.69E-05,42,pak1,
2.23E-05,42,tmem30b,
6.92E-05,42,thrap3a,
7.39E-05,42,shox2,
8.56E-05,42,scgn,
0.000114268071615355,42,stmn4l,
0.000119369992015356,42,glipr1b,
0.000154608452077054,42,emx2,
0.000438930663455605,42,CR812832.1,
0.000561052017728037,42,phlda2,
